taxon	location
W544_2014-11-13_bird_USA_CA_sandiego_-116.813_33.011	San-Diego
W545_2014-11-17_bird_USA_CA_sandiego_-117.084_33.029	San-Diego
W586_2016-03-16_bird_USA_CA_sandiego_-117.054_33.147	San-Diego
W592_2017-08-04_bird_USA_CA_sandiego_-116.936_32.552	San-Diego
KJ501341_2005-08-01_USA_CA_Glenn_-122.3915_39.599	North-Central-Valley
KR349026_2011-09-13_USA_CA_Sutter_-121.7567_39.1172	North-Central-Valley
KR349025_2007-07-25_USA_CA_Shasta_-122.3158_40.5033	North-Central-Valley
KR349020_2011-02-09_USA_CA_Shasta_-122.239_40.4162	North-Central-Valley
KR349018_2007-07-26_USA_CA_Shasta_-122.3479_40.4815	North-Central-Valley
KR349017_2007-07-25_USA_CA_Shasta_-122.3158_40.5034	North-Central-Valley
KR349015_2004-11-08_USA_CA_Sacramento_-121.4998_38.4432	Sacramento-Yolo
KR349013_2007-09-25_USA_CA_Sacramento_-121.219_38.3849	Sacramento-Yolo
KR349012_2005-07-28_USA_CA_Sacramento_-121.2792_38.7139	Sacramento-Yolo
KR349011_2005-07-28_USA_CA_Sacramento_-121.2792_38.7139	Sacramento-Yolo
KR349007_2005-07-15_USA_CA_Solano_-121.745_38.4603	South-Central-Valley
KR349006_2011-01-09_USA_CA_Sacramento_-121.4389_38.4318	Sacramento-Yolo
KR349005_2011-01-09_USA_CA_Sacramento_-121.3948_38.4601	Sacramento-Yolo
KR349004_2011-01-09_USA_CA_Sacramento_-121.4528_38.4672	Sacramento-Yolo
KR349003_2011-01-09_USA_CA_Sacramento_-121.4528_38.4672	Sacramento-Yolo
KR349002_2011-01-09_USA_CA_Sacramento_-121.3575_38.4598	Sacramento-Yolo
KR349001_2011-01-09_USA_CA_Sacramento_-121.3665_38.4491	Sacramento-Yolo
KR349000_2008-07-25_USA_CA_Sacramento_-121.587_38.2861	Sacramento-Yolo
KR348999_2005-07-18_USA_CA_Sacramento_-121.3061_38.6708	Sacramento-Yolo
KR348998_2008-06-27_USA_CA_Sacramento_-121.499_38.5035	Sacramento-Yolo
KR348997_2005-06-29_USA_CA_Sacramento_-121.3728_38.5835	Sacramento-Yolo
KR348995_2005-08-23_USA_CA_Sacramento_-121.5053_38.3428	Sacramento-Yolo
KR348994_2005-08-24_USA_CA_Sacramento_-121.3948_38.4891	Sacramento-Yolo
KR348984_2011-01-09_USA_CA_Kern_-119.3503_35.5936	Kern
KR348983_2011-01-09_USA_CA_Kern_-119.2539_35.5022	Kern
KR348982_2011-01-09_USA_CA_Kern_-119.2539_35.5022	Kern
KR348980_2011-01-09_USA_CA_Kern_-118.9416_35.1364	Kern
KR348966_2011-10-28_USA_CA_LosAngeles_-118.6183_34.4534	South-CA
KR348920_2009-03-08_USA_CA_ContraCosta_-121.797_38.0108	South-Central-Valley
KR348918_2011-03-10_USA_CA_ContraCosta_-122.0372_38.0092	South-Central-Valley
KR348917_2008-08-18_USA_CA_ContraCosta_-121.797_38.0108	South-Central-Valley
KR348916_2008-08-18_USA_CA_ContraCosta_-121.679_37.9986	South-Central-Valley
KR348915_2011-08-29_USA_CA_ContraCosta_-121.5822_37.975	South-Central-Valley
DQ080059_2003-08-01_USA_CA_Sacramento_-121.4913_38.5795	Sacramento-Yolo
W006_2013-07-10_bird_USA_CA_sandiego_-116.946_32.885	San-Diego
W007_2013-07-23_bird_USA_CA_sandiego_-117.247_33.081	San-Diego
W013_2016-06-30_bird_USA_CA_sandiego_-117.053_33.015	San-Diego
W055_2013-08-01_bird_USA_CA_sandiego_-116.958_32.792	San-Diego
W057_2013-09-09_bird_USA_CA_sandiego_-116.998_32.84	San-Diego
W059_2013-11-07_bird_USA_CA_sandiego_-116.998_32.84	San-Diego
W071_2014-11-10_bird_USA_CA_sandiego_-117.244_32.932	San-Diego
W087_2015-08-28_mosquito_USA_CA_sandiego_-117.254_32.961	San-Diego
W092_2015-11-13_mosquito_USA_CA_sandiego_-117.088_33.174	San-Diego
W093_2016-08-11_mosquito_USA_CA_sandiego_-117.164_32.811	San-Diego
W094_2016-08-18_mosquito_USA_CA_sandiego_-117.168_32.697	San-Diego
W095_2017-10-05_bird_USA_CA_sandiego_-116.626_32.857	San-Diego
W096_2017-10-16_bird_USA_CA_sandiego_-116.692_33.214	San-Diego
W098_2017-08-28_mosquito_USA_CA_sandiego_-116.876_32.801	San-Diego
W100_2017-10-05_mosquito_USA_CA_sandiego_-117.098_32.737	San-Diego
W105_2015-10-02_bird_USA_CA_sandiego_-116.867_33.075	San-Diego
W120_2005-08-04_bird_USA_CA_stanislaus_-120.863_37.48	South-Central-Valley
W122_2006-08-14_bird_USA_CA_butte_-121.53_39.642	North-Central-Valley
W123_2006-09-13_bird_USA_CA_stanislaus_-121.028_37.651	South-Central-Valley
W124_2007-06-21_bird_USA_CA_butte_-121.66_39.362	North-Central-Valley
W125_2007-06-24_bird_USA_CA_stanislaus_-120.979_37.641	South-Central-Valley
W126_2007-06-24_bird_USA_CA_fresno_-119.763_36.821	South-Central-Valley
W128_2008-08-12_bird_USA_CA_calaveras_-120.712_38.235	South-Central-Valley
W130_2008-08-18_bird_USA_CA_contracosta_-121.814_38.015	South-Central-Valley
